annotation_id,annotator,comment,created_at,id,lead_time,rating,sentiment,updated_at,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки,Отрицательное
1.0,1.0,спасибо,2025-05-08T13:43:58.670350Z,2945792.0,229.47699999999995,5.0,"{""choices"": [""Понравилось выполнение заявки"", ""Вопрос решен""]}",2025-05-09T13:12:44.065760Z,1.0,0.0,0.0,0.0,1.0,0
2.0,1.0,спасибо!,2025-05-08T13:44:06.887197Z,3234340.0,7.589,5.0,"{""choices"": [""Понравилось выполнение заявки""]}",2025-05-09T10:57:27.209739Z,0.0,0.0,0.0,0.0,1.0,1
3.0,1.0,Отлично ,2025-05-08T13:44:17.129499Z,3380332.0,16.082,5.0,"{""choices"": [""Понравилось выполнение заявки"", ""Вопрос решен""]}",2025-05-09T10:57:17.714712Z,1.0,0.0,0.0,0.0,1.0,0
4.0,1.0,Благодарю за оперативное решение проблемы ! ,2025-05-08T13:45:15.409884Z,3381812.0,56.595,5.0,Нравится скорость отработки заявок,2025-05-08T13:45:15.410883Z,0.0,0.0,0.0,0.0,0.0,0
5.0,1.0,Прекрасный специалист! Побольше таких,2025-05-08T13:45:22.315316Z,3461991.0,5.91,5.0,Нравится качество работы сотрудников,2025-05-08T13:45:22.315316Z,0.0,0.0,0.0,0.0,0.0,0
6.0,1.0,Спасибо ,2025-05-08T13:45:29.003632Z,3551430.0,7.47,5.0,"{""choices"": [""Понравилось выполнение заявки"", ""Вопрос решен""]}",2025-05-09T13:13:00.416869Z,1.0,0.0,0.0,0.0,1.0,0
7.0,1.0,"пересчет, и скорость 
",2025-05-08T13:45:46.940921Z,3572768.0,17.005,1.0,Нравится скорость отработки заявок,2025-05-08T13:45:46.940921Z,0.0,0.0,0.0,0.0,0.0,0
9.0,1.0,выполнили быстро,2025-05-08T13:46:05.497015Z,3596020.0,14.261,5.0,Нравится скорость отработки заявок,2025-05-08T13:48:45.443504Z,0.0,0.0,0.0,0.0,0.0,0
10.0,1.0,Спасибо! ,2025-05-08T13:46:11.353271Z,3617808.0,6.959999999999999,5.0,"{""choices"": [""Понравилось выполнение заявки"", ""Вопрос решен""]}",2025-05-09T13:13:05.043716Z,1.0,0.0,0.0,0.0,1.0,0
11.0,1.0,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,2025-05-08T13:48:04.858702Z,3627490.0,111.706,5.0,Понравилось выполнение заявки,2025-05-08T13:48:04.858702Z,0.0,0.0,0.0,0.0,0.0,0
12.0,1.0,"спасибо 
",2025-05-08T13:48:56.291619Z,3657819.0,6.093,5.0,"{""choices"": [""Понравилось выполнение заявки"", ""Вопрос решен""]}",2025-05-09T14:58:48.563261Z,1.0,0.0,0.0,0.0,1.0,0
13.0,1.0,Спасибо ,2025-05-08T13:48:59.682100Z,3691620.0,4.273,5.0,"{""choices"": [""Понравилось выполнение заявки"", ""Вопрос решен""]}",2025-05-09T14:58:51.810320Z,1.0,0.0,0.0,0.0,1.0,0
14.0,1.0,Решили мой вопрос. Спасибо! ,2025-05-08T13:49:16.229373Z,3695420.0,13.792,5.0,Понравилось выполнение заявки,2025-05-08T13:49:16.229373Z,0.0,0.0,0.0,0.0,0.0,0
15.0,1.0,Очень радует работа УК. Оперативно! Спасибо!,2025-05-08T13:49:51.924670Z,3716702.0,34.703,5.0,Нравится качество работы сотрудников,2025-05-08T13:49:51.924670Z,0.0,0.0,0.0,0.0,0.0,0
16.0,1.0,Все исправили ,2025-05-08T13:50:01.042369Z,3726842.0,8.123,5.0,Понравилось выполнение заявки,2025-05-08T13:50:01.042369Z,0.0,0.0,0.0,0.0,0.0,0
17.0,1.0,спасибо за оперативную работу ,2025-05-08T13:50:09.963506Z,3745025.0,7.017,5.0,Нравится качество выполнения заявки,2025-05-08T13:50:09.963506Z,0.0,0.0,0.0,0.0,0.0,0
18.0,1.0,"Выполнили отлично , обработка заявки была слишком дорогой ",2025-05-08T13:50:49.355322Z,3749719.0,38.393,5.0,Отрицательное,2025-05-08T13:50:49.355322Z,0.0,0.0,0.0,0.0,0.0,0
19.0,1.0,спасибо большое! теперь не скрипят ,2025-05-08T13:50:58.376051Z,3751364.0,7.746,5.0,Нравится качество выполнения заявки,2025-05-08T13:50:58.376051Z,0.0,0.0,0.0,0.0,0.0,0
20.0,1.0,спасибо,2025-05-08T13:51:01.461601Z,3766183.0,3.961,5.0,"{""choices"": [""Понравилось выполнение заявки"", ""Вопрос решен""]}",2025-05-09T14:58:57.061399Z,1.0,0.0,0.0,0.0,1.0,0
21.0,1.0,Спасибо!,2025-05-08T13:51:04.486756Z,3770102.0,3.928,5.0,"{""choices"": [""Понравилось выполнение заявки"", ""Вопрос решен""]}",2025-05-09T14:59:00.292799Z,1.0,0.0,0.0,0.0,1.0,0
