comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Отрицательное
быстро ,1,0,0,0,0,0
"все отлично, спасибо",0,0,0,1,1,0
спасибо),0,0,0,1,1,0
"быстро отреагировали на заявку , сразу решили проблему , спасибо",1,0,0,0,0,0
"Среагировали быстро, благодарю ",1,0,0,0,0,0
"оперативно. ещё бы настроили его, чтоб не хлопала дверь.",0,0,0,0,0,0
Спасибо!,0,0,0,1,1,0
"было бы 5 звезд, но пришлось действовать через руководство, поэтому четыре. ",0,0,0,0,0,0
Спасибо за проявленное участие и инциативу.,1,0,0,0,1,0
отлично!!!! быстро отреагировали. всё работает!!!!!!,0,0,0,0,0,0
спасибо! ,0,0,0,1,1,0
спасибо вам огромное!!!!,0,0,0,0,0,0
спасибо! очень помогли! отличный сантехник,0,0,0,0,0,0
всё отлично 👍,0,0,0,0,1,0
все оперативно. спасибо,1,0,0,0,1,0
поверку не произвели,0,0,0,0,0,1
Спасибо большое!,0,0,0,1,1,0
"какой гарантийный период у водопроводной системы, которая зашита внутри стен?",0,0,0,0,0,0
спасибо большое за помощь в решении вопроса.,0,0,0,0,1,0
починили быстро! спасибо!,0,0,0,0,0,0
"спасибо, очень быстро всё сделали.",0,0,0,0,0,0
Вот теперь все данные правильно внесены. Спасибо.,0,0,0,0,1,0
спасибо! спускаем воздух регулярно,0,0,0,0,1,0
хороший мужчина консультировал,0,0,0,0,0,0
Спасибо,0,0,0,1,1,0
"Огромное спасибо, быстро и качественно ",1,0,0,0,0,0
"Очень быстро, качественно. Спасибо! 🤝",1,0,0,0,0,0
Спасибо большое Мария🤝 👍,0,0,0,0,1,0
Спасибо ,0,0,0,1,1,0
оперативно  .спасибо,1,0,0,0,0,0
какой акт выполненных работ мы должны предоставить?ремонт делали сами....,0,0,0,0,0,0
все вежливо и информативно ❤️,0,0,0,0,0,0
"мария доброе утро!  абсолютно ничего на этаже не отмыто, химией не работали это видно на фото, так же отсутствует запах. прошлый раз когда администратор действительно отмывала был запах химии и плитка была хоть и в небольших белых пятнах но без разводов. сейчас же такое ощущение что снова помыли полы грязной тряпкой и водой! прошу всетаки разобраться в сложившейся ситуации.",0,0,0,0,0,1
"посыпали песком но не везде, упала на парковке и разбила руку",0,0,0,0,0,1
благодарю менеджера ,0,0,0,0,1,0
Оперативно ,1,0,0,0,0,0
"Вауу, супер спасибо",0,0,0,0,1,0
все хорошо,0,0,0,0,1,0
"оперативно разрешили данную проблему! надеюсь, что больше в данном месте после сварки протекать не будет",0,0,0,0,0,0
отлично,0,0,0,0,1,0
большое спасибо за оперативный ответ,1,0,0,0,1,0
Менеджеру Наталье и дежурного  сантехнику 09.09.2024  большая благодарность  за оперативное решение проблемы. ,0,0,0,0,0,0
"Вопрос был решен оперативно . Спасибо как сантехнику , так и менеджеру . К сожалению не спросила имена . ",0,0,0,0,0,0
молниеносно),0,0,0,0,0,0
очень быстро,1,0,0,0,0,0
данные расчета не предоставили.,0,0,0,0,0,1
"плитку уложили, но в дождь всё равно скапливается лужа :(",0,0,0,0,1,0
Доброго дня! Спасибо за таких Прекрасных Сотрудников! ,0,0,0,0,0,0
Благодарю! ,0,0,0,0,1,0
"Спасибо большое!
",0,0,0,1,1,0
"Благодарю, помогли, а то до Вас никто не мог решить эту проблему, еще раз спасибо)",0,0,0,0,0,0
"спасибо дмитрию. пришел оперативно. 
все сделал.",0,0,0,0,1,0
Спасибо за своевременное выполнение заявки...,0,0,0,0,0,0
мастер молодец 👍,0,0,1,0,0,0
спасибо ,0,0,0,1,1,0
"Выполнили отлично , обработка заявки была слишком дорогой ",0,0,0,0,0,0
"просили разобраться по счету за кладовое помещение, а не за квартиру",0,0,0,0,0,0
спасибо за оперативное устранение аварии!,0,0,0,0,0,0
"проблема повторяется очень часто. вопрос не решается, не устраняется причина остановки лифтов практически каждый день. ездить в лифте небезопасно",0,0,0,0,0,1
решили сами,0,0,0,0,0,0
"шикарный сантехник. спасибо! через 10 мин после заявки пришел,сразу понял причину ,устранил свою зону ответственности-объяснил ,что мне надо сделать самой.",0,0,1,0,0,0
Супер,0,0,0,0,1,0
"Парни (установщики) отработали на 5+, а вот упаковка не очень , тк не полный комплект фурнитуры (отсутствовали в комплекте нижняя ответка, пришлось колхозить и отпиливать кусок от старой ответки, а также шурупы отсутствовали)",0,0,0,0,0,1
все сделали быстро. спасибо ,0,0,0,0,0,0
Огромнейшее спасибо за оперативность❤️,1,0,0,0,0,0
Все отлично! Спасибо.,0,0,0,1,1,0
"здравствуйте! на нашем 7 этаже  нет запаха краски, так как дверь красили на другом этаже. заявка касается зловония гнилью и кошачьим туалетом. в воскресенье, 19 января, запах исчез, но сейчас он снова появился. усиливается вонь возле вентиляции, у 26-27 квартир. решите, пожалуйста, проблему.",0,0,0,0,0,1
ок. спасибо,0,0,0,0,1,0
Очень приятный инженер ,0,0,0,0,0,0
"Всё оперативно,спасибо!",0,0,0,0,0,0
Спасибо! ,0,0,0,1,1,0
Спасибо за прямую связь со специалистом который смог устранить неисправность!,0,0,0,0,0,0
спасибо за быстрый ответ. все понятно объяснили,0,0,0,0,1,0
Спасибо ,0,0,0,1,1,0
супер,0,0,0,0,1,0
супер спасибо,0,0,0,0,1,0
"Мастер достаточно быстро решил наш вопрос. Надо было повернуть направление регулятора температуры на батарее отопления в другую сторону. После выполнения работы аккуратно все протер,что приятно. Большое спасибо! ",0,0,0,0,0,0
вопрос решили за 5мин.,0,0,0,0,1,0
спасибо огромное за перепрограммирование,0,0,0,0,1,0
спасибо! ,0,0,0,1,1,0
спасибо ,0,0,0,1,1,0
Благодарю.,0,0,0,0,1,0
спасибо. быстро и качественно ,1,0,0,0,0,0
благодарю,0,0,0,0,1,0
"помыт только пол. двери , где входная группа так и в пыли .",0,0,0,0,0,0
"только через заявки решается вопрос, батареи стали горячие.",0,0,0,0,0,0
большое вам спасибо :),0,0,0,0,0,0
"приехали быстро , всё сделали чётко. благодарю ",0,0,0,0,0,0
благодарю вас!!!! спасибо,0,0,0,0,1,0
спасибо большое за помощь,0,0,0,0,1,0
спасибо Вам за работу ,0,0,0,0,0,0
Спасибо!,0,0,0,1,1,0
"Благодарим, очень оперативно!",1,0,0,0,0,0
Спасибо ,0,0,0,1,1,0
Спасибо за оперативность. ,1,0,0,0,0,0
"Спасибо , оперативно и качественно ",1,0,0,0,0,0
Оперативно решила проблему),0,0,0,0,0,0
спасибо за решение проблемы!,0,0,0,0,1,0
спасибо. решили оперативно! ,1,0,0,0,1,0
быстро! качественно! спасибо!,1,0,0,0,0,0
Добрый день! Спасибо. Вопрос решен. ,0,0,0,0,1,0
спасибо,0,0,0,1,1,0
"вы не ответили, внесли ли вы изменения. меня волнует начисления с января 2025 года. я вам предоставила адресную справку которая от 03.01.25 года, в которой говориться что прописан только один человек, это я. меня волнует вопрос, внесли ли вы данные о снятие с регистрации моего сына, чтобы ав",0,0,0,0,0,1
Молодцы!,0,0,0,0,1,0
быстро! качественно! спасибо!,1,0,0,0,0,0
спасибо большое 😊. с уважением евгений!),0,0,0,1,1,0
Благодарю за оперативность!,1,0,0,0,0,0
спасибо большое за оперативность!,1,0,0,0,0,0
"молодцы, оперативно всë починили.",0,0,0,0,0,0
всё очень быстро сделали ,1,0,0,0,0,0
Оперативно. Пока работает ,0,0,0,0,0,0
Спасибо за фотоотчет,1,0,0,0,1,0
"наконец то уровень сервиса дошёл до отметки, где смогли решить эту проблему",0,0,0,0,0,0
"мастер пришел,установил доводчик,был доброжелателен. спасибо !!!",0,0,0,0,1,0
Спасибо дежурному сантехнику,0,0,0,0,1,0
хорошо только цвет другой,0,0,0,0,0,0
Спасибо Вам большое 🌹,0,0,0,0,0,0
"все сделал быстро, качественно.",0,0,0,0,0,0
Большое спасибо за роботу.,0,0,0,1,1,0
спасибо ,0,0,0,1,1,0
"хотя бы с третьего раза пришли и поменяли личинку, благодарю",0,0,0,0,0,0
"выполнено, спасибо",0,0,0,0,1,0
спасибо!,0,0,0,1,1,0
Спасибо ,0,0,0,1,1,0
"просьба очищать своевременн, не дожидаясь заявок",0,0,0,0,0,1
"спасибо,оперативно отреагировали, перекрыли воду",1,0,0,0,0,0
Все быстро и в срок. Спасибо ,0,0,0,0,1,0
огромное спасибо за оперативность,1,0,0,0,0,0
"Мастер быстро пришёл, быстро понял в чем проблема и быстро устранил её, в общем всё отлично, спасибо ",0,0,0,0,0,0
да все верно. спасибо,0,0,0,0,1,0
Была распечатана бумажная квитанция.Хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение Самолет+УК,0,0,0,0,0,0
спасибо,0,0,0,1,1,0
Большое спасибо мастеру 👍,0,0,1,0,0,0
благодарю!,0,0,0,0,1,0
спасибо за оперативность! все настроено,1,0,0,0,0,0
Всё быстро и оперативно!,1,0,0,0,0,0
благодарю!,0,0,0,0,1,0
жду справку об отсутствии задолженности. показания счётчиков передала,0,0,0,0,0,0
"очень быстро отреагировали, приехали в удобное время!",1,0,0,0,0,0
"спасибо,  очень оперативно",1,0,0,0,0,0
Приходил мастер все отрегулировал большое спасибо ,0,0,1,0,1,0
все отлично! выявили проблему.,0,0,0,0,1,0
Очень быстро,1,0,0,0,0,0
мастер супер! спасибо огромное!,0,0,0,0,1,0
Супер!!!!,0,0,0,0,1,0
спасибо огромное!,0,0,0,0,1,0
Спасибо за оперативность,1,0,0,0,0,0
дверь исправна,0,0,0,0,0,0
"отличная функция, спасибо ",0,0,0,0,1,0
оперативно,1,0,0,0,0,0
"Все супер, Мастер 👍",0,0,1,0,0,0
спасибо. заменили лампу,0,0,0,0,1,0
спасибо станиславу большое!),0,0,0,1,1,0
"ответили быстро, но увы ничего не смогут сделать.",0,0,0,0,0,0
спасибо!,0,0,0,1,1,0
Комод убран. Большое спасибо за оперативное решение,0,0,0,0,1,0
"было бы удобнее, если сразу дали ссылку или название раздела, где эту заявку оформить. потому что в приложении очень неудобно искать, где подать эту заявку. чёрт ногу сломит",0,0,0,0,0,0
"долго, но приятно",0,0,0,0,1,0
Все оперативно и качественно!,1,0,0,0,1,0
благодарю,0,0,0,0,1,0
"Спасибо сотруднику ук Никита, благодаря ему нам нормально  помыли  этаж, спасибо большое",0,0,0,0,0,0
"всё супер, вопрос решён быстро)",0,0,0,0,1,0
"Благодарю за обратную связь. 
За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос, не посещая клиентский офис. 
При звонке было вежливое, доброжелательное отношение. ",0,0,0,0,0,0
"оперативно,  качественно! спасибо!",1,0,0,0,1,0
спасибо большое всё идеально,0,0,0,0,1,0
"спасибо, мастер пришёл очень быстро.",0,0,0,0,0,0
Вопрос был решен оперативно) спасибо большое!,0,0,0,0,1,0
Добрый день! Вопрос решен очень быстро! Благодарю за работу и оперативность),0,0,0,0,0,0
"все оперативно, быстро, спасибо! ",1,0,0,0,1,0
"все отлично, большое спасибо!",0,0,0,1,1,0
Кнопки все вываливаются,0,0,0,0,1,0
благодарю!,0,0,0,0,1,0
спасибо большое специалистам.,0,0,0,0,1,0
"быстро, качественно",1,1,0,0,0,0
"благодарю, всего доброго!",0,0,0,0,1,0
"оперативно. спасибо, что не заставили ждать окончания праздников. с новым годом",0,0,0,0,0,0
проблема не устранена!!!!,0,0,0,0,0,1
спасибо большое вам за качественную работу.,0,0,0,0,0,0
оперативно устранили проблему. вежливый мастер. все чётко и по делу! спасибо,0,0,0,0,0,0
Спасибо ,0,0,0,1,1,0
Спасибо большое за оперативный ответ ,1,0,0,0,1,0
Спасибо ,0,0,0,1,1,0
Спасибо!,0,0,0,1,1,0
"спасибо мастеру, починил всё быстро и профессионально,  поставил новый доводчик. дверь теперь закрывается, теплопотерь нет.",0,0,0,0,0,0
быстро 👍🏻,1,0,0,0,0,0
"специалист перезвонил, всё разъяснили.",0,0,0,0,0,0
спасибо за оперативный ответ😊👍,1,0,0,0,1,0
Оперативное решение! Спасибо),0,0,0,0,1,0
"спасибо за обратную связь,надеюсь в приложении информация обновиться,что оплата прошла.


",0,0,0,0,0,0
спасибо вам,0,0,0,0,0,0
Спасибо большое 🌹,0,0,0,1,1,0
спасибо огромное за понимание!,0,0,0,0,1,0
Мастер на все руки! Спасибо большое 👍👍👍,0,0,0,0,0,0
спасибо!,0,0,0,1,1,0
"Электрик пришел, все проверил и нам объяснил все. Спасибо большое! ",0,0,0,0,1,0
Быстро,1,0,0,0,0,0
Спасибо за выполненную работу!,0,0,0,0,1,0
Спасибо большое за оперативность и качество!❤,1,0,0,0,0,0
"спасибо большое что услышали, убрали возле 38/1 мусор.теперь хоть рядом с банками бросать не будут люди мусор!",0,0,0,0,1,0
"сумма, которую я должна заплатить за коммунальные услуги сохранилась (34 384,14 рублей). когда данная сумма уменьшится на перенесенную (7 413,53 рублей)и",0,0,0,0,0,0
"не доделали работу до конца, ушли, пока трудно оценить,устранили ли причину протечки.",0,0,0,0,0,0
спасибо за консультацию,0,0,0,0,1,0
"лифт не работает, кнопки не активны",0,0,0,0,0,1
спасибо за оперативность!,1,0,0,0,0,0
"Проблему устранили, но не сообщили по запросу, сколько потребуется времени на её решение",0,0,0,0,0,0
"электрик смог настроить свет в коридоре удаленно. с помощью отключения электричества в квартире. правда, после этого снова отвалился интернет и снова в пятницу придет монтажник настраивать роутер. а после прошлого посещения монтажника свет в коридоре и закончился...",0,0,0,0,0,0
Консультация была проведена профессионально. Спасибо за разъяснения и рекомендации,0,0,0,0,0,0
спасибо,0,0,0,1,1,0
смотрите сообщения от 23.09.24 о поверке счетчиков. вы же мне и предлагали. вот акт у вас есть. так с чего мне начисляется отопление не по счетчику?!,0,0,0,0,0,1
спасибо за оперативность!,1,0,0,0,0,0
спасибо,0,0,0,1,1,0
супер!,0,0,0,0,1,0
спасибо ,0,0,0,1,1,0
"Здравствуйте! Большое спасибо дежурному диспетчеру-перезвонил в течение 5 минут от подачи заявки. Благодарю за сотрудничество! С уважением, Ю. П. ",0,0,0,0,0,0
звонки не поступают при звонке,0,0,0,0,0,1
отлично. спасибо большое. четко и быстро.,0,0,0,1,1,0
починили,0,0,0,0,0,0
Спасибо большое за оперативность 🙌🏻🌸,1,0,0,0,0,0
спасибо,0,0,0,1,1,0
Спасибо за оперативное решение вопроса! ,0,0,0,0,1,0
все прекрасно спасибо,0,0,0,0,1,0
"Отлично, спасибо большое ",0,0,0,1,1,0
"спасибо, проблема была решена",0,0,0,0,1,0
Спасибо за оперативность. После укладки плитки остались незаделанные швы на стыке. Для сравнения на 1 этаже в холле швы ровно закрыты. Просьба завершить работу до конца. ,0,0,0,0,0,0
два дня мусоропровод. сегодня с утра тоже,0,0,0,0,0,0
Все быстро и оперативно. Спасибо ,1,0,0,0,0,0
Мгновенно. Спасибо,0,0,0,0,1,0
"на мою просьбу быстро отреагировали, позвонили и быстро решили проблему",1,0,0,0,0,0
Спасибо Татьяне!) Быстро и понятно все объяснила!),0,0,0,0,1,0
спасибо! оперативно все починили,0,0,0,0,0,0
"Все, решили оперативно ",1,0,0,0,1,0
"добрый день! прошу указать сроки настройки системы аскуэ. пока система не работает, показания которые передаем вручную не учитываются?",0,0,0,0,0,1
"да открыла спасибо
",0,0,0,0,1,0
Все решили! Перезвонили . Спасибо ,0,0,0,0,1,0
быстро и четко,1,0,0,0,0,0
неверный логин пароль,0,0,0,0,0,0
Спасибо!,0,0,0,1,1,0
спасибо,0,0,0,1,1,0
спасибо. прошу загружать квитанции в личный кабинет без дополнительных запросов.,0,0,0,0,0,0
Спасибо большое всё решили быстро!,0,0,0,0,1,0
Огромное спасибо вам от всего подъезда!!!   ))))),0,0,0,0,0,0
оперативно и качественно. спасибо ,1,0,0,0,1,0
"проблема не решена,но даны исчерпывающие разъяснения и рекомеедации",0,0,0,0,0,0
"быстро, оперативно. спасибо!",1,0,0,0,0,0
спасибо👍,0,0,0,1,1,0
"спасибо за  быстрый ответ! 


",1,0,0,0,1,0
забрал очки,0,0,0,0,0,0
Очень быстро отреагировали и устранили проблему ,1,0,0,0,0,0
"батарея полностью горячая, спасибо огромное за работу",0,0,0,0,1,0
"здравствуйте, была услышана специалистом, проблема решена в теч. 1-ой минуты, срасибо",0,0,0,0,0,0
Спасибо за быстрое реагирование!!!,1,0,0,0,0,0
"Пришли,, окна подкрутили. Быстро. ",0,0,0,0,0,0
Спасибо Сергей ! )))),0,0,0,0,0,0
"быстро прислали код.
единственное что смущает  коды легкие слишком.",0,0,0,0,0,0
👍👍👍,0,0,0,0,0,0
спасибо!,0,0,0,1,1,0
"быстро отреагировали, спасибо",1,0,0,0,0,0
Благодарю за оперативное решение проблемы ! ,1,0,0,0,0,0
"Сергей Анатольевич, мастер своего дела. Выполнил работу быстро и качественно, спасибо.",0,0,1,0,0,0
спасибо!,0,0,0,1,1,0
Спасибо!,0,0,0,1,1,0
"спасибо, заявка выполнена.",0,0,0,0,1,0
"20 января, пока запаа нет",0,0,0,0,0,0
спасибо за оперативность.,1,0,0,0,0,0
"Большое спасибо за своевременную обратную связь! Всё чётко объяснили,культурно!",0,0,0,0,1,0
не работают 2 грузовых лифта,0,0,0,0,0,1
"оперативно пришли, выполнили осмотр, составили акт! на все интересующие вопросы ответили. благодарю!",0,0,0,0,0,0
вот это скорость выполнения заявки 🔥 вот это я понимаю! в пример всем остальным! спасибо большое! 👍🏽👏🏽,0,0,0,0,0,0
"Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением! ",0,0,0,0,0,0
спасибо,0,0,0,1,1,0
"спасибо, быстро и оперативно!!!",1,0,0,0,1,0
Спасибо ,0,0,0,1,1,0
Спасибо!,0,0,0,1,1,0
"Быстро, качественно устранил наш засор ",0,0,0,0,0,0
спасибо юлии и ерлану за решение вопроса!,0,0,0,0,1,0
"оперативно устранили, дали консультацию ",0,0,0,0,0,0
спасибо!,0,0,0,1,1,0
отличный мастер.,0,0,1,0,0,0
"всё было сделано быстро и качественно, огромное спасибо мастеру",0,0,0,0,0,0
